Method 1 (finalWithReviews),Method 1 (twotimes) - number of sellers multiplied by 2,Method 1 (eighttimes) -  number of sellers multiplied by 8,,Method 2 (finalWithReviews),Method 2 (twotimes) - number of sellers multiplied by 2,Method 2(eighttimes) -  number of sellers multiplied by 8,,PnS = products and seller,Method1 (twotimesPnS) - number of products and sellers  each multiplied by two,Method 1 (eighttimesPnS)  - number of products and sellers  each multiplied by two,,,Method 2 (twotimesPnS) - number of products and sellers  each multiplied by two,Method 2 (twotimesPnS) - number of products and sellers  each multiplied by eight,
311,569,1130,,370,589,1304,,,811,6034,,,722,6197,method 2 x num product
178,351,886,,228,306,902,,,549,5430,,,598,5082,
98,239,823,,135,232,658,,,412,6035,,,431,4778,
124,253,664,,134,259,729,,,432,5927,,,404,4728,
98,238,665,,127,244,605,,,396,6095,,,411,4747,
78,217,640,,112,221,587,,,407,7523,,,434,4771,
115,216,637,,115,244,592,,,470,7747,,,410,4734,
93,303,641,,112,220,593,,,400,5673,,,399,4686,
84,254,632,,112,225,611,,,411,5241,,,403,4825,
79,231,643,,137,221,668,,,402,5641,,,412,4730,
82,227,636,,114,211,606,,,417,5229,,,419,4666,
135,219,639,,115,213,588,,,425,5382,,,420,5034,
98,208,652,,112,212,591,,,432,5250,,,463,4748,
126,208,646,,113,213,581,,,400,5441,,,451,4763,
86,214,631,,113,205,594,,,402,5316,,,424,4788,
86,209,637,,117,209,590,,,438,5275,,,430,5111,
90,211,645,,150,215,585,,,410,5130,,,428,4749,
92,211,657,,120,227,595,,,417,5360,,,446,4666,
114,234,647,,110,237,594,,,390,5349,,,404,4851,
121,210,661,,109,230,593,,,397,4913,,,421,4843,
81,212,657,,111,226,587,,,405,4937,,,406,4723,
77,213,652,,126,240,598,,,394,5060,,,414,4772,
77,216,651,,111,232,590,,,397,5276,,,400,5214,
79,210,655,,140,243,593,,,387,4930,,,411,4725,
79,210,655,,109,227,591,,,394,5181,,,415,4696,
77,214,655,,112,219,590,,,424,5024,,,425,4745,
76,212,662,,109,224,596,,,539,4984,,,408,4971,
75,208,661,,120,213,590,,,480,4941,,,409,5385,
77,210,658,,112,202,614,,,449,5251,,,410,4724,
76,216,661,,110,207,596,,,426,5016,,,417,5039,
77,211,654,,112,207,588,,,431,4946,,,408,6412,
75,217,641,,115,202,595,,,426,4838,,,421,4809,
74,216,637,,111,203,602,,,427,5031,,,422,4792,
75,214,634,,110,214,603,,,540,4865,,,410,5536,
75,210,640,,114,223,599,,,757,4761,,,414,5456,
77,214,655,,110,227,599,,,577,5081,,,400,5401,
77,217,644,,113,202,595,,,456,4894,,,413,5164,
78,208,645,,110,207,596,,,411,4779,,,403,5120,
76,207,662,,108,200,602,,,419,4842,,,415,4957,
